game_id,igdb_id,vgi_id,name,released,steam_id,slug,price,units_sold_vgi,reviews,followers,rating,genres,developers,publishers,publishers_type,revenue_vgi,tags
3022164,155248.0,676858,Sid Meier's Alpha Centauri™ Planetary Pack,2024-03-07,2204130,sid-meier-s-alpha-centauri-planetary-pack,4.99,12930,434,1699,92.166,Strategy,Firaxis Games,Electronic Arts,AAA,34304,"['Strategy', 'Singleplayer', 'Multiplayer', 'Turn-Based Strategy', '4X', 'Space', 'Sci-fi']"
3022162,46632.0,697441,Dungeon Keeper Gold™,2024-03-07,1996630,dungeon-keeper-gold,4.99,12960,438,2112,94.292,"Strategy, RPG",Bullfrog Productions,Electronic Arts,AAA,32845,"['Strategy', 'Singleplayer', 'RPG', 'Classic', 'Action RPG', 'Real Time Tactics', 'God Game', ""1990's"", 'Villain Protagonist']"
3022170,5525.0,678800,Populous The Beginning,2024-03-07,2616430,populous-the-beginning,4.99,9780,332,1371,88.855,"Strategy, RPG",Bullfrog Productions,Electronic Arts,AAA,25927,"['Strategy', 'RPG', 'Grand Strategy', 'Tactical', 'Isometric', 'God Game', 'Strategy RPG']"
3022163,248.0,661497,Populous™,2024-03-07,2203860,populous,4.99,1320,45,666,86.667,"Strategy, RPG",Bullfrog Productions,Electronic Arts,AAA,3180,"['Strategy', 'RPG', 'Isometric', 'God Game', 'Strategy RPG']"
3022171,8895.0,678801,Populous™ II: Trials of the Olympian Gods,2024-03-07,2616450,populous-ii-trials-of-the-olympian-gods,4.99,780,26,439,65.385,"Strategy, RPG",Bullfrog Productions,Electronic Arts,AAA,2112,"['Strategy', 'RPG', 'Turn-Based Tactics', 'Isometric', 'Strategy RPG']"
3022125,26352.0,610826,Growtopia,2024-03-07,866020,growtopia,0.0,46890,1578,490,27.503,"Action, Adventure, Simulation, Strategy, Casual, Free to Play, MMO",Ubisoft,Ubisoft,AAA,0,"['Adventure', 'Simulation', 'Free to Play', 'Casual', 'Massively Multiplayer', 'Multiplayer', 'MMORPG', 'Character Customization', 'Crafting', 'Cooking', '2D', 'Pixel Graphics', 'Building', 'Exploration', 'Fantasy', 'Open World', 'Sandbox', 'Funny', 'Cute', 'Colorful']"
3022165,290216.0,691737,Command & Conquer™ and The Covert Operations™,2024-03-07,2229830,command-conquer-and-the-covert-operations,0.0,8640,289,1224,77.163,"Action, Strategy",Westwood Studios,Electronic Arts,AAA,0,"['Strategy', 'Action', 'Singleplayer', 'Classic', 'Action RTS', 'RTS']"
3022166,290138.0,661656,"Command & Conquer: Red Alert™, Counterstrike™ and The Aftermath™",2024-03-07,2229840,command-conquer-red-alert-counterstrike-and-the-aftermath,0.0,7170,241,1508,83.817,"Action, Strategy, RPG",Westwood Studios,Electronic Arts,AAA,0,"['Strategy', 'Action', 'Singleplayer', 'RPG', 'Classic', 'Action RTS', 'RTS']"
3022126,290140.0,631460,Command & Conquer: Red Alert™ 2 and Yuri’s Revenge™,2024-03-07,2229850,command-conquer-red-alert-2-and-yuri-s-revenge,0.0,229000,7703,15628,93.042,"Action, Strategy","Westwood Pacific, Westwood Studios",Electronic Arts,AAA,0,"['Strategy', 'Action', 'Singleplayer', 'RPG', 'Multiplayer', 'Classic', 'RTS', 'Base Building', 'Sci-fi', 'Retro', 'Great Soundtrack']"
3022127,649.0,661657,Command & Conquer™: Generals,2024-03-07,2229870,command-conquer-generals,0.0,41010,1387,5894,86.878,"Action, Strategy",EA Pacific,Electronic Arts,AAA,0,"['Strategy', 'Action', 'Singleplayer', 'RPG', 'Multiplayer', 'Action RPG', 'RTS', 'Base Building']"
3022167,290139.0,677004,Command & Conquer™ Tiberian Sun™ and Firestorm™,2024-03-07,2229880,command-conquer-tiberian-sun-and-firestorm,0.0,25560,868,2378,89.055,"Action, Strategy",Westwood Studios,Electronic Arts,AAA,0,"['Strategy', 'Action', 'Singleplayer', 'Classic', 'Action RPG', 'Isometric', 'RTS', 'Sci-fi']"
3022128,706.0,661658,Command & Conquer™: Renegade,2024-03-07,2229890,command-conquer-renegade,0.0,18030,622,2236,84.887,"Action, Strategy",Westwood Studios,Electronic Arts,AAA,0,"['Strategy', 'Action', 'Singleplayer', 'Multiplayer', 'Classic', 'Action RTS', 'FPS', 'RTS']"
3022136,650.0,644611,Command & Conquer™ Generals Zero Hour,2024-03-07,2732960,command-conquer-generals-zero-hour,0.0,109000,3687,8531,90.127,"Action, Strategy",EA Pacific,Electronic Arts,AAA,0,"['Strategy', 'Action', 'Singleplayer', 'RPG', 'Multiplayer', 'Classic', 'Co-op', 'War', 'RTS', 'Base Building']"
1616267,262534.0,678238,Expeditions: A MudRunner Game,2024-03-05,2477340,expeditions-a-mudrunner-game,39.99,118000,3926,40545,54.126,"Adventure, Simulation, Racing",Saber Interactive,Focus Entertainment,AA,3300000,"['Simulation', 'Singleplayer', 'Multiplayer', 'Automobile Sim', 'Racing', 'Offroad', 'Nature', 'Driving', 'Co-op', 'Moddable', 'Online Co-Op', 'Character Customization', 'Science', 'Transportation', 'Building', 'Exploration', 'Physics', 'Base Building', 'Open World', 'Realistic']"
1139253,239942.0,653306,The Thaumaturge,2024-03-04,1684350,the-thaumaturge,34.99,111000,3694,57268,83.649,"Adventure, RPG",Fool's Theory,11 bit studios,AA,2800000,"['Adventure', 'Singleplayer', 'RPG', 'Choices Matter', 'Demons', 'Mystery', 'CRPG', 'Point & Click', 'Dark Fantasy', 'Turn-Based Strategy', 'Detective', 'Psychological', 'Supernatural', 'Creature Collector', 'Exploration', 'Fantasy', 'Story Rich', 'Atmospheric', 'Visual Novel', 'Multiple Endings']"
